wallet,segment,CyberKongz Genesis,CyberKongz Babies,CyberKongz VX (Any),CyberKongz Genkai (Any)
0x566d482333c299a6f4ef9b7c1aaf047aeb4cc5dd,babies,0,1,0,0
0x56c7982b6751b5d24006fb4302c9d966c3129cd5,babies,0,1,0,0
0x572aa7604fc3ace4d8c6eb1bef6b27329acf4917,babies,0,1,0,0
0x5763542e5de5f524037b6c90623d00e0d6099bde,babies,0,1,0,0
0x5786ec177be57110cec0cd1b742bdacd6e1fb42e,babies,0,1,0,0
0x57a502a50b8de770ee3d43730d4b6540b209a2b7,babies,0,1,0,0
0x57f643a4b2bd52a3034f988f13efe5deae5eed3b,babies,0,1,0,0
0x585a8d6138f143c7ba47d65946dd77b19fe1a14a,babies,0,1,0,0
0x585f4fbe2d2a889c286fa71fb81d01f30773f4b1,babies,0,1,0,0
0x587d714453eccd6f49818da4c17121c092506cce,babies,0,1,0,0
0x591f8a2decc1c86cce0c7bea22fa921c2c72fb95,babies,0,1,0,0
0x5931ea7a3084de0ee29667d7d7008458823a9c4c,babies,0,1,0,0
0x59ab6370738a5d22405c9c629c2384e3010b8cdf,babies,0,5,0,0
0x5be7a21f919360ad47c2b3b3e27d1b9bf66f8edb,babies,0,3,0,0
0x5bf4b5dd92918f496230726877e28714fad8abc8,babies,0,1,0,0
0x5bf84226febce10237e9fb8598ba5d45a8ceb38e,babies,0,1,0,0
0x5cb1a5808b3c3298c9ff9851037260314bfe7447,babies,0,4,0,0
0x5d0de67f651a1e18c63db31e77b8973c9122f07f,babies,0,1,0,0
0x5e3436890f0402b345ccb3711b1f9de901e196dd,babies,0,1,0,0
0x5f164b0160a8ed14473784a69310e7b443e5a718,babies,0,1,0,0
0x5f165be904f877490a04181581adc3b3b69880a1,babies,0,2,0,0
0x5f1e4695f1f1f00dbfd868e30aef053f560c6262,babies,0,1,0,0
0x5f8b3d24dcb5356fc336c6b15b3716671a6bfee7,babies,0,1,0,0
0x6032dd9f3d960fab3e38901ef1e629f2e5249287,babies,0,1,0,0
0x618cef76f1721e148c4c8a350200fd507712eb9a,babies,0,1,0,0
0x61be4048c631954a8adb3a7088b17ed8d9c2a33a,babies,0,1,0,0
0x62050220633afe524d98fe3fccadbeacc2b96110,babies,0,1,0,0
0x629beafaa24115b3ed90d007f0133780f5cb061f,babies,0,1,0,0
0x62b8284143b1d1e44cf4f436881d6ebe80cd14e4,babies,0,1,0,0
0x6325f7acd5faeaa81193e169538d594e1dcd8b7a,babies,0,1,0,0
0x63523769e90fc0a66932a5fdc7c21d921f188812,babies,0,1,0,0
0x63ae1c0794df183ea1af6bb675aa3d96dc1695ac,babies,0,1,0,0
0x641d4d35bddd7ee9fc83369bf84cf0e36dbbd7df,babies,0,1,0,0
0x64bfe03502dd1a218ac9930cf6e9499ae1b42ced,babies,0,1,0,0
0x657dc522579ed47581833515960d7505340fd42b,babies,0,1,0,0
0x66666f58de1bcd762a5e5c5aff9cc3c906d66666,babies,0,1,0,0
0x66f02e34ce51397d9ecee0bec87e09ef9d67993e,babies,0,1,0,0
0x674f48a59e381be0a608bc6da3cce5521f718565,babies,0,1,0,0
0x683e5888cff1d4ba81294fdc690381d77b02a743,babies,0,1,0,0
0x6853d3a789479d57eb1e1fce7d9018b0409a56af,babies,0,1,0,0
0x68fe3828578c89b66255b580f59aec5aaba55ff4,babies,0,1,0,0
0x69063ab63866e3227c616908a090163af1b3e900,babies,0,1,0,0
0x69849cc15d343dd588ceb96cb71aaf27918281aa,babies,0,1,0,0
0x69b9226547b18ae24d9aeab5d4054448ab1145e2,babies,0,1,0,0
0x69d8f4e01896dc20286d72339620c801a42edd46,babies,0,1,0,0
0x69dc5c887fa2512be5c9e6394c4b4f003c5e073d,babies,0,1,0,0
0x6b001363c5b37360b941a51789a1407eb33cdb28,babies,0,1,0,0
0x6b8dc34f3148cf71070e159a4cf41dce97648f28,babies,0,1,0,0
0x6c36a2265dbffd803e576a2faa2b37a3222e1672,babies,0,1,0,0
0x6d1912dc58b97d81ad9babe58fb59a6c339ba823,babies,0,1,0,0
0x6d424cd4ea7f54eb0b21f34844ef820efa091b09,babies,0,1,0,0
0x6d5462c3aad61bf22fca93b6f14e2cd8179bcbe7,babies,0,1,0,0
0x6d5596d228c44453b0e16d1e4abd3f14724773fb,babies,0,1,0,0
0x6dfbcfc90fc96cb36bfde0189e5cebc524ef9e08,babies,0,1,0,0
0x6e74a58b85a1d236a36890693d9fadb4cbcb6df8,babies,0,2,0,0
0x6f0dbf24c053a20203ea7c46f0a4a8da5207b74e,babies,0,1,0,0
0x6fc36cb02801608490832045ff3fa667935633c6,babies,0,1,0,0
0x6fd2fb6db7c3a8ad03e40578f8a8a7ebd350309b,babies,0,1,0,0
0x7019ab18fdcbd0812f23364147c43f6c0ae17530,babies,0,1,0,0
0x70305eff9330be3dfa0883d10b6392a9fcb9b70e,babies,0,1,0,0
0x703dc566a48d3d3c6e4f6eeece51c0dbd79696ee,babies,0,1,0,0
0x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,babies,0,1,0,0
0x7093b896e19b8d3c1bd5f756c25a7785e65f7693,babies,0,1,0,0
0x71f0d1bfc37329c575627e3eafd376f33eb32d4c,babies,0,4,0,0
0x722040abf3844310eba27aaa30c0381a741ab1f7,babies,0,1,0,0
0x72e24c76ef03085fbb986b43ad508888bd9608de,babies,0,2,0,0
0x7349bfae4601bd65c71665f2d86762caa2f0df64,babies,0,1,0,0
0x7358cc8256928ca361226c82495f2a27655ddc57,babies,0,4,0,0
0x7395987b2853e625bd12b43aee453106089dad6c,babies,0,1,0,0
0x73b95277f1c303daa1606dc2e563820d2cd0f03f,babies,0,1,0,0
0x7421ee9cc9d28e7073d5da708032b00f4d32eebb,babies,0,1,0,0
0x7457b47abe7dd86ad6b59cb71a7190c8bf046011,babies,0,1,0,0
0x748616ad7797b189a61df4ca47cae089314f3c72,babies,0,2,0,0
0x74db20cdfe40ff8d9a5db34f176a45e747d168c0,babies,0,1,0,0
0x753c6ca8652951b921bbb33e132a51cf098653f5,babies,0,1,0,0
0x754497d0ba7d82f22080ff5be81e21ca70eec370,babies,0,1,0,0
0x7556cc553036e8e67ca77b72fca81657988de13e,babies,0,1,0,0
0x75b54cba0061aaab1c67f140432131f5d0be2c2e,babies,0,1,0,0
